"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 19 13:09:23 UTC 2026","Wed Aug 19 13:09:28 UTC 2026","5003","tests","test_login","","","","Login Test","This test validates the login functionality of the application."
"failed","Wed Aug 19 13:09:23 UTC 2026","Wed Aug 19 13:09:28 UTC 2026","5003","tests","test_login","","","","test_sign_out[chromium]",""
"broken","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","0","tests","test_dataHandling","","","","test_excel_write",""
"passed","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","0","tests","test_dataHandling","","","","test_CLI",""
"broken","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","0","tests","test_dataHandling","","","","test_excel",""
"passed","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","0","tests","test_dataHandling","","","","test_csvHandling_write",""
"broken","Wed Aug 19 13:09:18 UTC 2026","Wed Aug 19 13:09:48 UTC 2026","30002","tests","test_results","","","","test_validateTheResultsTitle[chromium]",""
"passed","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","2","tests","test_dataHandling","","","","test_env",""
"broken","Wed Aug 19 13:09:24 UTC 2026","Wed Aug 19 13:09:54 UTC 2026","30002","tests","test_results","","","","test_search_results_only_show_iphone_products[chromium]",""
"passed","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","2","tests","test_dataHandling","","","","test_jsonHandling",""
"failed","Wed Aug 19 13:09:18 UTC 2026","Wed Aug 19 13:09:23 UTC 2026","5004","tests","test_login","","","","test_negative_login[chromium]",""
"failed","Wed Aug 19 13:09:18 UTC 2026","Wed Aug 19 13:09:23 UTC 2026","5003","tests","test_home","","","","test_validateThePageComponents[chromium]",""
"failed","Wed Aug 19 13:09:18 UTC 2026","Wed Aug 19 13:09:23 UTC 2026","5003","tests","test_home","","","","test_validateTheHeaders[chromium]",""
"passed","Wed Aug 19 13:09:15 UTC 2026","Wed Aug 19 13:09:15 UTC 2026","0","tests","test_dataHandling","","","","test_csvHandling",""
